GeneID	ExpressionLevel
AT1G02690	17.294545454545457
AT1G02700	1.6309090909090909
AT1G02705	4.73921568627451
AT1G02720	8.774545454545455
AT1G02730	30.81111111111111
AT1G02740	10.569090909090908
AT1G02750	16.88888888888889
AT1G02770	1.2224489795918367
AT1G02780	1036.090909090909
AT1G02790	1431.322222222222
AT1G02800	8.683333333333334
AT1G02810	8.522641509433962
AT1G02813	1.24
AT1G02816	17.836363636363636
AT1G02820	30.87222222222222
AT1G02830	0.3666666666666667
AT1G02840	96.10909090909091
AT1G02850	30.303703703703704
AT1G02860	15.710909090909091
AT1G02870	38.31090909090909
AT1G02880	16.71090909090909
AT1G02890	40.8
AT1G02900	42.30925925925926
AT1G02910	51.732727272727274
AT1G02920	109.83962264150944
AT1G02930	132.4037037037037
AT1G02940	0.7851063829787235
AT1G02950	6.071698113207548
AT1G02952	0.2222222222222222
AT1G02960	15.5
AT1G02965	0.27
AT1G02970	3.7399999999999998
AT1G02980	0.2806451612903226
AT1G02990	9.465454545454547
AT1G03000	15.110909090909091
AT1G03010	1.148148148148148
AT1G03020	3.4166666666666665
AT1G03030	17.076363636363638
AT1G03040	43.092592592592595
AT1G03050	115.25238095238096
AT1G03055	6.738461538461538
AT1G03060	12.345454545454546
AT1G03070	2.4596153846153848
AT1G03080	34.092592592592595
AT1G03090	29.37818181818182
AT1G03100	0.9574074074074075
AT1G03103	0.39999999999999997
AT1G03106	0.9242424242424241
AT1G03110	15.309090909090909
AT1G03120	1.8557692307692308
AT1G03130	1134.418181818182
AT1G03140	49.45454545454545
AT1G03150	30.98181818181818
AT1G03160	33.51851851851852
AT1G03165	1.3348837209302327
AT1G03170	3.8098039215686272
AT1G03180	3.9472727272727273
AT1G03190	7.555555555555555
AT1G03200	4.58125
AT1G03210	24.8
AT1G03220	169.63818181818183
AT1G03230	39.10909090909091
AT1G03240	0.7225806451612903
AT1G03250	29.854545454545455
AT1G03260	11.309090909090909
AT1G03270	4.5
AT1G03280	29.854545454545455
AT1G03290	12.167272727272728
AT1G03310	28.365454545454543
AT1G03320	0.5279069767441861
AT1G03330	58.25818181818182
AT1G03340	2.8444444444444446
AT1G03350	43.96363636363636
AT1G03360	17.856363636363636
AT1G03365	10.827272727272728
AT1G03370	17.527272727272727
AT1G03380	19.832727272727272
AT1G03390	0.12000000000000002
AT1G03400	24.075925925925926
AT1G03410	2.005660377358491
AT1G03430	20.925925925925927
AT1G03440	12.481481481481481
AT1G03445	0.34736842105263155
AT1G03457	11.592727272727274
AT1G03470	10.461818181818183
AT1G03475	182.96545454545455
AT1G03490	0.25
AT1G03495	6.825454545454545
AT1G03502	0.8400000000000001
AT1G03506	6.076744186046512
AT1G03510	2.1944444444444446
AT1G03520	10.274545454545455
AT1G03530	12.365454545454545
AT1G03540	2.1833333333333336
AT1G03545	0.5191489361702127
AT1G03550	2.677777777777778
AT1G03560	7.82
AT1G03590	24.385454545454547
AT1G03600	293.42
AT1G03610	26.672727272727272
AT1G03620	2.916981132075472
AT1G03630	166.65454545454546
AT1G03640	1.0
AT1G03650	5.674545454545455
AT1G03660	2.422641509433962
AT1G03670	0.2571428571428571
AT1G03680	395.41818181818184
AT1G03687	14.654545454545454
AT1G03700	3.252777777777778
AT1G03710	4.33469387755102
AT1G03720	2.483333333333334
AT1G03730	13.592592592592593
AT1G03740	30.1
AT1G03743	81.95714285714286
AT1G03746	35.69500000000001
AT1G03750	4.8109090909090915
AT1G03760	12.10909090909091
AT1G03770	5.601818181818182
AT1G03780	12.987272727272726
AT1G03790	2.5457142857142854
AT1G03800	0.7055555555555556
AT1G03810	0.27499999999999997
AT1G03820	28.962962962962962
AT1G03830	7.964814814814815
AT1G03840	3.5132075471698117
AT1G03850	17.30181818181818
AT1G03860	69.13272727272728
AT1G03870	182.62962962962962
AT1G03880	0.35714285714285715
AT1G03890	0.2333333333333333
AT1G03900	113.12727272727273
AT1G03905	4.541818181818181
AT1G03910	37.74181818181818
AT1G03920	4.909433962264152
AT1G03930	27.818181818181817
AT1G03935	17.429166666666667
AT1G03940	5.325925925925926
AT1G03950	21.24909090909091
AT1G03960	8.0
AT1G03970	19.952727272727273
AT1G03980	0.7791666666666668
AT1G03982	0.2
AT1G03987	1.0
AT1G03990	2.7600000000000002
AT1G03997	0.3
AT1G04000	15.363636363636363
AT1G04003	0.3
AT1G04007	3.1470588235294117
AT1G04010	6.447272727272727
AT1G04013	2.6977777777777776
AT1G04020	9.438888888888888
AT1G04027	4.080851063829788
AT1G04030	6.812727272727273
AT1G04033	0.30000000000000004
AT1G04037	3.548
AT1G04040	121.55555555555556
